date,region,avg_supplier_delay_days,inventory_units,avg_discount_rate,revenue,cost,gross_margin
2026-05-01,East,1.6511713249239304,4581.217758389635,0.07645620343345268,901.0553060107468,630.3802669695781,0.30039780825389245
2026-05-01,North,2.0549851170186857,4302.962354501269,0.08229169411660738,882.7435361778221,619.7882879624703,0.2978840823393822
2026-05-01,South,1.437110710759097,4631.716066442639,0.07571339209944801,940.2141513691807,658.6057600054705,0.2995151593428155
2026-05-01,West,1.7089310349383908,4244.39720509818,0.07516230447078108,907.7586886706171,634.8254885913159,0.30066713046724225
2026-05-02,East,0.8621532303475584,4379.674395023216,0.08409948135355685,941.1510445728461,658.5843327294106,0.3002352422311577
2026-05-02,North,2.118546463619476,4360.486291606724,0.07685720548050928,870.9039897677551,612.7304872429097,0.2964431275526626
2026-05-02,South,1.993689670994949,4490.241139156392,0.07403503187971472,868.0252672364836,609.8882420408272,0.2973842293986241
2026-05-02,West,1.7151627220452945,4576.651535080919,0.07324040872107088,992.2471693831715,696.8571347271517,0.29769803711271703
2026-05-03,East,1.5940632789490334,4529.736291465979,0.08551754381836238,890.2526767992003,625.0976161281462,0.2978424750424657
2026-05-03,North,1.1085446483062522,4267.780497370436,0.08124912441490698,886.5750685820881,620.6618447620467,0.29993311705157705
2026-05-03,South,1.6456435564638532,4458.824169958087,0.08632690649387535,849.5361279622434,597.7221071638427,0.29641355147828663
2026-05-03,West,1.1706784210999346,4439.798284430979,0.08290121359880862,887.9695039025006,622.4943905610216,0.29896872828937626
2026-05-04,East,1.487201720393935,4653.610487606697,0.0822013033698393,945.260318120228,662.0174169854295,0.2996453947184238
2026-05-04,North,1.9867152201858453,4719.8922579637065,0.09314489121419595,956.0015495368265,668.2360412998339,0.301009457962084
2026-05-04,South,1.0766955524888349,4725.07957167074,0.08062719729830069,924.4057719779562,647.2134156568039,0.2998600449324783
2026-05-04,West,1.8236663608115264,4256.787597796834,0.0700275240504922,1029.2890464049833,719.2035500746863,0.30126182476471336
2026-05-05,East,1.9402739841989376,4400.824992237615,0.08350595407531822,893.1623808960271,627.7708548257738,0.29713692800631686
2026-05-05,North,0.9612036560424025,4458.368402797736,0.08511520657206581,855.0238139798224,599.2669423906161,0.2991225126219021
2026-05-05,South,1.2797578616081897,4625.2724103988985,0.08165109335306046,869.8987447105114,611.242527387449,0.2973406030251707
2026-05-05,West,1.2379089095629987,4598.1919317920065,0.07627408162794205,877.4583673054527,614.3762754782226,0.2998228766512501
2026-05-06,East,1.4347598744084649,4521.147704204206,0.07677325116857796,922.850888499603,647.5484997251391,0.29831730370012244
2026-05-06,North,1.2121596967689898,4592.68810831275,0.0813868806958522,968.666762292999,676.0030579124407,0.30213042892869946
2026-05-06,South,1.447637157883026,4473.5177103075885,0.0802095923860295,859.4650980501428,602.3726038709656,0.29913081376130296
2026-05-06,West,1.030491546480189,4474.305499173697,0.08825182339816659,907.0023823014924,636.0155252080933,0.29877193531264795
2026-05-07,East,1.085377658631558,4391.706027312739,0.08213315792735897,986.5132135681392,688.4528479253373,0.30213519853904586
2026-05-07,North,0.9170183751169267,4571.199477645774,0.0824281103445012,914.403232910987,639.8443518467324,0.30026018192236825
2026-05-07,South,1.1750652250756812,4295.141776964054,0.0804979961266125,925.170185858422,648.2353058023889,0.2993339866427691
2026-05-07,West,0.8984767227259006,4356.155681740306,0.08947610976907386,926.7215309052876,647.3697411753758,0.3014409187806623
2026-05-08,East,2.179214501409207,4798.366266392666,0.08083696133863864,973.521673816635,685.2028274889562,0.29616068556269687
2026-05-08,North,1.0723667240292198,4467.856110197155,0.0706930049445955,934.1745308387715,652.8775609550017,0.3011182178465092
2026-05-08,South,0.5600902786719244,4228.207044668591,0.08485621668157381,943.255768927186,659.4969787274589,0.3008291065343398
2026-05-08,West,1.7578547124736026,4276.696299812842,0.09068625211937537,870.334395639791,610.351486951095,0.29871611416388993
2026-05-09,East,1.1186389648974613,4381.917622642846,0.08477748482645975,840.9510590432446,589.211456967523,0.2993510732504784
2026-05-09,North,1.1658839437591555,4351.265544784929,0.07530592615131035,891.1265503357838,624.6374999008783,0.2990473691244978
2026-05-09,South,1.8742413626042342,4313.68730846652,0.08836121079474062,892.0255986355689,627.8097082793612,0.2961976548210601
2026-05-09,West,1.04841299100519,4172.911869555642,0.07089764526897893,875.7196331828569,613.6799994427283,0.299227770865122
2026-05-10,East,1.5534191743733294,4408.665613102968,0.08359710678016312,950.6561091994256,666.7277711265706,0.29866566398227756
2026-05-10,North,1.865601496155758,4306.9397360656385,0.07933928726604453,967.6542893424983,678.9413850040107,0.2983636899234562
2026-05-10,South,2.2877212254414108,4352.457383801784,0.07715418633038844,951.1221454243337,666.6971115154277,0.2990415429576741
2026-05-10,West,1.5923386599557003,4573.459956682751,0.08619119900646469,862.8716677846584,605.7305414828554,0.2980062225962159
2026-05-11,East,2.2281677175105807,4320.296691314551,0.08087023878548139,921.9942292718188,649.370043207017,0.2956896880798456
2026-05-11,North,1.5338922483450388,4349.397856614396,0.07653775603787621,882.1410838047565,618.748131885722,0.2985837036214164
